title,artist,isHot,popularity,album_popularity,genres,cluster
Background Music: The Greatest Ever Punk Sing-Along! - Live,The Prefects,0,0,0,['uk post-punk'],2
6th Avenue Nightmare,Pennywise,0,14,35,"['punk', 'skate punk', 'socal pop punk']",2
Cuatro Estrofas,Sandra Mihanovich,0,19,35,"['cantautora argentina', 'rock nacional']",2
Climax - Instrumental Mix,Slum Village,0,28,51,"['alternative hip hop', 'detroit hip hop', 'hardcore hip hop', 'hip hop']",2
Give It Up or Let Me Go,The Chicks,0,31,65,"['contemporary country', 'country', 'country dawn']",2
Joy to the World,Boots Randolph,0,0,10,['nashville sound'],2
Yearning Just For You,Bob Wills,0,15,39,"['cowboy western', 'traditional country', 'western swing']",2
Sincerely,Don & Juan,0,1,30,"['doo-wop', 'rhythm and blues']",2
Road To Bali: The Merry-Go-Runaround,Bob Hope,0,1,16,['vintage hollywood'],2
Question Authority,Circle Jerks,0,31,46,"['hardcore punk', 'punk']",2
Loup Garou,Willy DeVille,0,9,30,['native american traditional'],2
Oh No,Daniel Johnston,0,5,20,"['alternative rock', 'anti-folk', 'chamber pop', 'countrygaze', 'lo-fi', 'melancholia', 'noise pop', 'outsider']",2
So Many Reasons,Jake Hess,0,0,0,['southern gospel'],2
Dragonfly,Diesel Boy,0,4,27,"['melodic hardcore', 'ska punk', 'skate punk']",2
Fading Lady Light,Jefferson Starship,0,16,54,"['album rock', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",2
The Croppy Boy,The Irish Tenors,0,0,5,['irish ballad'],2
Many Are We,Keep Of Kalessin,0,7,20,"['black metal', 'norwegian black metal', 'norwegian metal', 'symphonic black metal', 'technical black metal', 'viking metal']",2
Play The Part,Eyes Set To Kill,0,19,37,"['metalcore', 'pixie', 'screamo']",2
2 People - Favretto Remix Instrumental,Ann Lee,0,0,2,"['eurodance', 'hip house', 'italo dance']",2
"Tem Dó De Mim - Live At El Matador, San Francisco, CA / 1965",Sérgio Mendes,0,6,14,"['bossa nova', 'brazilian jazz', 'samba']",2
Salvation,Chroma Key,0,6,24,['progressive metal'],2
Shame,ABREU,0,6,29,"['finnish dance pop', 'finnish hip hop', 'finnish pop']",2
Two Guitars Shuffle - Take 2,Lonnie Brooks,0,29,29,"['chicago blues', 'louisiana blues']",2
What If I Forget the Champagne,Stanley Clarke,0,2,23,"['electric bass', 'jazz funk', 'jazz fusion']",2
Elementro - Original Mix,Ten Madison,0,0,4,"['future ambient', 'psychill']",2
Kangaroo Blues,Moon Mullican,0,0,0,"['country boogie', 'western swing']",2
Strangers In The House - From “Casper” Soundtrack,James Horner,0,18,39,"['orchestral soundtrack', 'soundtrack']",2
A.C.A.B. - Bumper Sessions,4 Skins,0,22,33,['oi'],2
Are You There (With Another Girl),Burt Bacharach,0,18,47,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",2
Introduction,The Chi-Lites,0,0,4,"['chicago soul', 'classic soul', 'disco', 'funk', 'quiet storm', 'soul', 'southern soul']",2
No Good In Goodbye - With Jewel,Jason Michael Carroll,0,13,44,"['country', 'country road']",2
Copacabana,Sivuca,0,0,0,"['bossa nova', 'jazz accordion', 'mpb', 'samba', 'samba-jazz', 'velha guarda']",2
I Wanna Be Where You Are,Michael Jackson,0,39,52,"['r&b', 'soul']",2
Tenderly,Eddie Calvert,0,0,0,"['easy listening', 'jazz trumpet']",2
Song For Paul,Alex Gopher,0,0,7,"['electrofox', 'filter house']",2
Thrill Me - 2008 Remaster,Simply Red,0,37,69,"['british soul', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop']",2
From The Gardner Meditations: African Tarantella,Stefon Harris,0,9,13,['jazz vibraphone'],2
Beautiful Lies,Eddie,0,0,0,"['brazilian indie', 'manguebeat']",2
Alma de Metal,Bobby Pulido,0,6,41,"['banda', 'grupera', 'musica mexicana', 'norteno', 'tejano']",2
Toby,The Chi-Lites,0,24,24,"['chicago soul', 'classic soul', 'disco', 'funk', 'quiet storm', 'soul', 'southern soul']",2
La Fruta Bomba,Fruko Y Sus Tesos,0,1,15,"['salsa', 'salsa colombiana']",2
Wartime Blues,Blind Lemon Jefferson,0,0,0,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'gospel blues', 'pre-war blues', 'texas blues', 'traditional blues']",2
O.T. - Skit,Cam'ron,0,0,21,"['battle rap', 'east coast hip hop', 'harlem hip hop', 'southern hip hop']",2
Wildflower,Bon Jovi,1,27,60,"['glam metal', 'rock']",2
Dolores,The Merry Macs,0,2,32,"['big band', 'british dance band', 'vocal harmony group']",2
Heal (The Separation) - PM Dawn Alt. Lead Mix,The Shamen,0,0,2,"['acid house', 'big beat', 'britpop', 'dance rock', 'hardcore techno', 'hip house']",2
The Invasion (Aka Black Wa Da Da),Burning Spear,0,13,23,"['dub', 'reggae', 'roots reggae']",2
Motivator,Midwest Product,0,1,6,['michigan indie'],2
IV,From Autumn To Ashes,0,11,40,"['melodic metalcore', 'metalcore', 'post-hardcore', 'screamo']",2
The Other Side Of That Hill,Barbara Fairchild,0,0,1,"['arkansas country', 'classic country pop', 'country gospel']",2
Someday (I Will Understand),Britney Spears,0,32,34,"['dance pop', 'pop']",2
Fall Line - Live feat. Matt Costa,Jack Johnson,0,10,31,['neo mellow'],2
Morghe Eshgh,Mohammad Nouri,0,0,5,['classic persian pop'],2
