title,artist,isHot,popularity,album_popularity,genres
High Horse,Workhorse,False,5,5,[]
Bodyfly - Dynamix original version,Dynamix,False,0,0,[]
Brampton To Roadhead,Gathering,False,0,0,[]
Stop That Thing,Sleepy John Estes,False,0,3,"['country blues', 'memphis blues', 'traditional blues']"
Tu Quieres Volver,Gipsy Kings,False,45,68,"['flamenco', 'rumba', 'world']"
Cable,Languis,False,0,0,[]
Romanza,Hard Romantic,False,1,8,[]
Walking To Jerusalem - Single Version,Tracy Byrd,False,25,34,"['contemporary country', 'country', 'country road']"
Calm Down Dad,Helen Love,False,0,0,"['welsh indie', 'welsh rock']"
Dragonfly - Live,Connemara Stone Company,False,0,1,['celtic rock']
Intro,DJ Clue,False,9,43,"['dirty south rap', 'east coast hip hop']"
BigBigKiss,Helen Love,False,7,22,"['welsh indie', 'welsh rock']"
